age,type,origin,rarity
901,2,1,0
1682,2,6,0.780333
44,3,2,0.830182
2008,0,6,0.834667
417,3,5,0.949167
193,0,6,0.967576
6,3,4,0.970045
8,2,2,0.971851
6,0,4,0.971943
7,1,3,0.972372
6,3,3,0.972576
10,3,2,0.972603
12,2,4,0.972615
8,4,3,0.973329
14,4,6,0.973472
17,3,4,0.973595
12,4,2,0.973777
15,4,0,0.973901
9,0,1,0.973969
10,4,3,0.973976
19,3,4,0.97424
10,2,1,0.974398
21,3,4,0.974885
7,3,5,0.975009
16,4,2,0.975071
19,4,0,0.975193
13,0,0,0.975264
19,2,2,0.975405
19,3,2,0.975511
17,2,5,0.975712
18,0,4,0.975823
18,1,3,0.975929
22,4,6,0.976056
32,1,1,0.976201
6,2,3,0.976373
26,3,4,0.976499
11,3,0,0.976518
9,3,1,0.976608
23,2,2,0.976697
12,0,2,0.976736
10,1,4,0.976827
24,2,2,0.977021
11,1,4,0.977152
13,2,6,0.977166
35,1,1,0.977167
19,0,0,0.977206
22,2,5,0.977329
29,3,4,0.977467
36,1,1,0.977489
15,0,2,0.977709
27,4,0,0.977777
15,2,6,0.977815
19,4,1,0.977841
22,4,3,0.977859
13,4,5,0.977906
27,2,2,0.97799
23,3,3,0.978076
31,3,4,0.978112
16,3,0,0.978139
17,3,5,0.978252
12,1,2,0.978321
18,0,2,0.978682
20,0,3,0.978695
33,3,4,0.978758
18,2,6,0.978788
24,0,1,0.978824
27,1,3,0.978839
15,4,4,0.978873
16,4,5,0.97888
16,3,6,0.97888
26,3,3,0.979047
32,2,4,0.979073
17,3,6,0.979205
32,4,6,0.979286
20,0,2,0.979331
33,2,4,0.979396
18,1,4,0.979423
18,3,6,0.979529
33,4,6,0.979609
27,0,1,0.979795
19,3,1,0.979854
26,1,5,0.979896
37,3,4,0.980049
20,4,5,0.980178
22,2,0,0.980191
26,1,0,0.980215
25,0,3,0.980315
30,3,3,0.980341
29,0,0,0.980443
30,4,3,0.980447
26,0,6,0.980533
24,0,2,0.980628
33,0,4,0.980673
31,4,3,0.980771
33,1,3,0.98078
22,4,4,0.981145
26,2,6,0.981382
33,4,3,0.981418
24,3,6,0.981476
26,2,0,0.981489
36,4,2,0.981537
27,2,6,0.981707
28,0,2,0.981925
35,3,3,0.981959
26,1,4,0.982019
34,0,0,0.982061
41,4,6,0.982193
36,1,6,0.982389
32,0,6,0.982477
40,4,2,0.98283
42,3,2,0.982943
32,0,2,0.983222
47,3,4,0.983276
32,2,6,0.983328
35,0,6,0.983449
42,4,2,0.983476
40,4,3,0.983683
33,2,0,0.983759
29,1,2,0.983843
46,4,0,0.983915
49,3,4,0.983921
47,4,6,0.984131
30,1,2,0.984168
33,1,4,0.984291
33,3,1,0.984398
47,2,2,0.984452
48,4,6,0.984454
36,2,0,0.984732
40,1,0,0.98475
44,3,3,0.984871
49,4,0,0.984884
