Name,Platform,Year_of_Release,Publisher,NA_Sales,EU_Sales,Other_Sales
Boulder Dash: Rocks!,DS,2007,10TACLE Studios,0,0.03,0
Pirates: Legend of the Black Buccaneer,PS2,2006,10TACLE Studios,0.01,0.01,0
Panzer Tactics,DS,2007,10TACLE Studios,0.06,0,0
Men of War: Assault Squad,PC,2011,1C Company,0.01,0.03,0.01
King's Bounty: Armored Princess,PC,2009,1C Company,0,0.01,0
Off-Road Drive,PC,2011,1C Company,0,0.03,0
Deadly Duck,2600,1981,20th Century Fox Video Games,0.21,0.01,0
Bank Heist,2600,1982,20th Century Fox Video Games,0.32,0.02,0
Fantastic Voyage,2600,1981,20th Century Fox Video Games,0.32,0.02,0
Alien,2600,1981,20th Century Fox Video Games,0.74,0.04,0.01
Porky's,2600,1982,20th Century Fox Video Games,0.23,0.01,0
World of Goo,PC,2008,2D Boy,0,0.03,0.01
Army Men: Sarge's Heroes,PS,1999,3DO,0.31,0.21,0.04
High Heat Major League Baseball 2004,PS2,2003,3DO,0.18,0.14,0.05
Army Men: Sarge's Heroes 2,PS,2000,3DO,0.14,0.09,0.02
World Destruction League: Thunder Tanks,PS2,2000,3DO,0.08,0.07,0.02
Army Men: Green Rogue,PS,2001,3DO,0.04,0.02,0
Army Men: Air Combat - The Elite Missions,GC,2003,3DO,0.01,0,0
Godai: Elemental Force,PS2,2002,3DO,0.04,0.03,0.01
World Destruction League: Thunder Tanks,PS,2000,3DO,0.09,0.06,0.01
Army Men: Air Combat,N64,2000,3DO,0.19,0.05,0
Shifters,PS2,2002,3DO,0.03,0.02,0.01
Army Men: Sarge's Heroes,N64,1999,3DO,0.68,0.12,0.01
Warriors of Might and Magic,PS2,2001,3DO,0.09,0.07,0.02
Army Men World War: Final Front,PS,2001,3DO,0.24,0.17,0.03
BattleTanx,N64,1998,3DO,0.26,0.06,0
Jonny Moseley Mad Trix,PS2,2001,3DO,0.07,0.05,0.02
BattleTanx: Global Assault,N64,1999,3DO,0.31,0.07,0
Army Men World War: Team Assault,PS,2001,3DO,0.06,0.04,0.01
Warriors of Might and Magic,PS,2001,3DO,0.07,0.05,0.01
Portal Runner,PS2,2001,3DO,0.06,0.05,0.02
Army Men: Green Rogue,PS2,2001,3DO,0.06,0.05,0.02
Army Men: Air Attack,PS,1999,3DO,0.47,0.32,0.06
High Heat Major League Baseball 2003,PS2,2002,3DO,0.18,0.14,0.05
Army Men: Air Attack 2,PS,2000,3DO,0.17,0.11,0.02
Dragon Rage,PS2,2001,3DO,0.03,0.02,0.01
Crusaders of Might and Magic,PS,1999,3DO,0.14,0.1,0.02
Army Men: Sarge's Heroes 2,N64,2000,3DO,0.34,0.07,0
High Heat Baseball 2002,PS,2001,3DO,0.02,0.02,0
Army Men 3D,PS,1999,3DO,1.1,0.14,0.04
WarJetz,PS2,2001,3DO,0.02,0.02,0.01
Army Men: RTS,PS2,2002,3DO,0.05,0.04,0.01
Aqua Aqua,PS2,2000,3DO,0.05,0.04,0.01
Sammy Sosa High Heat Baseball 2001,PS,2000,3DO,0.32,0.22,0.04
Contender 2,PS,2000,3DO,0.31,0.21,0.04
Uprising X,PS,1998,3DO,0.04,0.03,0
High Heat Major League Baseball 2004,XB,2003,3DO,0.06,0.02,0
Summer Athletics 2009,X360,2009,49Games,0,0.03,0
Zumba Fitness Core,Wii,2012,505 Games,0,0.06,0.01
Discovery Kids: Puppy Playtime,DS,2009,505 Games,0.3,0,0.02
Top Gun: Hard Lock,X360,2012,505 Games,0.03,0.02,0
Daisy Fuentes Pilates,Wii,2009,505 Games,0.17,0.06,0.02
Supremacy MMA,PSV,2012,505 Games,0.02,0.04,0.01
Discovery Kids: Pony Paradise,DS,2009,505 Games,0.19,0,0.01
Terraria,PS3,2013,505 Games,0.07,0.2,0.05
Payday 2,PS3,2013,505 Games,0.22,0.14,0.08
Zumba Fitness Core,X360,2012,505 Games,0,0.05,0
Payday 2,X360,2013,505 Games,0.33,0.19,0.05
Hooked! Again: Real Motion Fishing,Wii,2009,505 Games,0.36,0,0.03
Top Gun: Hard Lock,PS3,2012,505 Games,0,0.02,0.01
Terraria,X360,2013,505 Games,0.35,0.27,0.06
Cooking Mama 3: Shop & Chop,DS,2009,505 Games,0.79,0.65,0.17
Discovery Kids: Kitten Corner,DS,2009,505 Games,0.42,0,0.03
IL-2 Sturmovik: Birds of Prey,X360,2009,505 Games,0.23,0.23,0.05
Gardening Mama,DS,2009,505 Games,0.79,0.42,0.13
IL-2 Sturmovik: Birds of Prey,PS3,2009,505 Games,0.34,0.25,0.1
